"
",Player,AB,H,1B,2B,3B,HR,BB,HBP,SF,wOBA,OBP,SLG
1,"Belyeu, Max",18,2,1,0,0,1,3,0,0,0.2409524,0.2380952,0.2777778
2,"Borba, Casey",34,10,8,0,0,2,10,0,0,0.4140909,0.4545455,0.4705882
3,"Chamberlain, Cole",3,0,0,0,0,0,2,1,0,0.35,0.5,0
4,"Duplantier, Jayden",4,0,0,0,0,0,1,0,0,0.138,0.2,0
5,"Farmer IV, Tommy",39,8,5,3,0,0,4,1,0,0.2668182,0.2954545,0.2820513
6,"Flores, Jalin",44,6,2,0,1,3,7,1,1,0.2877358,0.2641509,0.3863636
7,"Galvan, Rylan",45,9,4,3,0,2,7,1,0,0.3230189,0.3207547,0.4
8,"Gasparino, Will",34,5,3,1,0,1,5,0,0,0.2433333,0.2564103,0.2647059
9,"Mendoza, Ethan",39,9,7,1,1,0,7,1,0,0.3121277,0.3617021,0.3076923
10,"Rodriguez, Adrian",41,15,10,4,1,0,5,3,0,0.4328571,0.4693878,0.5121951
11,"Schuessler, Kimble",42,10,9,0,0,1,6,2,1,0.3076471,0.3529412,0.3095238
12,"Stewart, Jaquae",5,0,0,0,0,0,0,0,0,0,0,0
13,"Williams, Jonah",26,6,3,3,0,0,1,1,0,0.2817857,0.2857143,0.3461538
14,"Winfield, Easton",3,0,0,0,0,0,1,0,0,0.1725,0.25,0
15,Grand Total,377,80,52,15,3,10,59,11,2,0.3114031,0.3340757,0.3474801
,,,,,,,,,,,,,
