Player,AB,H,1B,2B,3B,HR,BB,HBP,SF
"Belyeu, Max",18,2,1,0,0,1,3,0,0
"Borba, Casey",34,10,8,0,0,2,10,0,0
"Chamberlain, Cole",3,0,0,0,0,0,2,1,0
"Duplantier, Jayden",4,0,0,0,0,0,1,0,0
"Farmer IV, Tommy",39,8,5,3,0,0,4,1,0
"Flores, Jalin",44,6,2,0,1,3,7,1,1
"Galvan, Rylan",45,9,4,3,0,2,7,1,0
"Gasparino, Will",34,5,3,1,0,1,5,0,0
"Mendoza, Ethan",39,9,7,1,1,0,7,1,0
"Rodriguez, Adrian",41,15,10,4,1,0,5,3,0
"Schuessler, Kimble",42,10,9,0,0,1,6,2,1
"Stewart, Jaquae",5,0,0,0,0,0,0,0,0
"Williams, Jonah",26,6,3,3,0,0,1,1,0
"Winfield, Easton",3,0,0,0,0,0,1,0,0
Grand Total,377,80,52,15,3,10,59,11,2
